param n:= 8;

#Matriz de custo para os arcos do grafo
param subgrafo: 1 2 3 4 5 6 7 8:= 
 	  1  0 0 80 70 0 0 0 0
 	  2  0 0 0 0 60 0 45 0
 	  3  0 0 0 0 70 45 55 0
 	  4  0 0 0 0 0 90 70 0
 	  5  0 0 0 0 0 0 0 120
 	  6  0 0 0 0 0 0 0 130
 	  7  0 0 0 0 0 0 0 190
 	  8 0 0 0 0 0 0 0 0 ;
 	  
param a: 1 2 3 4 5 6 7 8:= 
 	  1  0 0 1 1 0 0 0 0
 	  2  0 0 0 0 1 0 1 0
 	  3  0 0 0 0 1 1 1 0
 	  4  0 0 0 0 0 1 1 0
 	  5  0 0 0 0 0 0 0 1
 	  6  0 0 0 0 0 0 0 1
 	  7  0 0 0 0 0 0 0 1
 	  8 0 0 0 0 0 0 0 0 ;
 	  
 

 	  
